video_link,duration,title,views,likes,comments,date,month,year,date_month_year,day
https://www.youtube.com//watch?v=ppZ2WIlRvR8,13,Joseph Ravenell: How barbershops can keep men healthy | TED,82083,1300,189,20,6,2016,20/6/2016,Mon
https://www.youtube.com//watch?v=9VF7kffCgJU,7,Drawings that show the beauty and fragility of Earth | Zaria Forman,254492,5600,228,18,6,2016,18/6/2016,Sat
https://www.youtube.com//watch?v=uTL9tm7S1Io,12,Your words may predict your future mental health | Mariano Sigman,776451,11000,505,17,6,2016,17/6/2016,Fri
https://www.youtube.com//watch?v=9AgCr2tTvng,13,The beauty of being a misfit | Lidia Yuknavitch,488557,13000,584,15,6,2016,15/6/2016,Wed
https://www.youtube.com//watch?v=A-OvJjAw2Jo,5,How free is our freedom of the press? | Trevor Timm,104194,2400,125,14,6,2016,14/6/2016,Tue
https://www.youtube.com//watch?v=o9DNWK6WfQw,13,Our lonely society makes it hard to come home from war | Sebastian Junger,528077,15000,1064,11,6,2016,11/6/2016,Sat
https://www.youtube.com//watch?v=tRqJysI-yiw,6,Good news in the fight against pancreatic cancer | Laura Indolfi,126556,2200,303,9,6,2016,9/6/2016,Thu
https://www.youtube.com//watch?v=6diqpGKOvic,13,Can you really tell if a kid is lying? | Kang Lee,10417185,252000,18864,8,6,2016,8/6/2016,Wed
https://www.youtube.com//watch?v=_bphPa7Wp4c,11,This tiny particle could roam your body to find tumors | Sangeeta Bhatia,107339,2300,171,7,6,2016,7/6/2016,Tue
https://www.youtube.com//watch?v=MO0L_LY2hRA,4,An artist's unflinching look at racial violence | Sanford Biggers,64083,1800,376,6,6,2016,6/6/2016,Mon
https://www.youtube.com//watch?v=FDhlOovaGrI,15,This is your brain on communication | Uri Hasson,229677,3200,169,3,6,2016,3/6/2016,Fri
